date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:17	1117864/1117864	---M-Z	200	added ('OK')	text/javascript	etag:%2294ba96ae5ac2d282d1acd53940d6aa3b%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/js/webflow.eb5b1681f.js	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/js/webflow.eb5b1681f.js	(from https://kidsland.webflow.io/index.html)
13:38:18	11713/11713	---M--	200	added ('OK')	image/png	etag:%222bd7f2311cc3da9947f526ecea9a6175%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d411c1b6e9c0fa8ae540dd_Footer%20Bg.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d411c1b6e9c0fa8ae540dd_Footer%20Bg.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:18	1141/1141	---M--	200	added ('OK')	image/png	etag:%227787c627ec06217c9a6c68b67417fcab%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66f09a73841873e89f3_Vector%203.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66f09a73841873e89f3_Vector%203.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:19	46891/46891	---M--	200	added ('OK')	image/png	etag:%224293a440a7bb4f6c40c80a3a22222f31%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66de96ecdcc195c0a0f_Srivces%20bg.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c66de96ecdcc195c0a0f_Srivces%20bg.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:19	12028/12028	---M--	200	added ('OK')	image/png	etag:%22f87f96d3dd963937556d13a6b5764013%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c670e96ecdcc195c125d_why%20choose%20bg.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c670e96ecdcc195c125d_why%20choose%20bg.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:20	9335/9335	---M--	200	added ('OK')	image/png	etag:%2272e1bbce9f71f8614d80a67259411d84%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c65e88fdaa6c6e8511d7_Countact%20Area%20Bg.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c65e88fdaa6c6e8511d7_Countact%20Area%20Bg.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:20	20217/20217	---M--	200	added ('OK')	image/png	etag:%2224755187131ee9e64e0cb57f0c8df8f5%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c662c632acda9cb03190_Gallery%20Icon.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c662c632acda9cb03190_Gallery%20Icon.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:20	16306/16306	---M--	200	added ('OK')	image/png	etag:%227f29bef99d2b48792185daa673fa4f07%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6618a6e2bcbce0be059_Gallery%20Bg.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6618a6e2bcbce0be059_Gallery%20Bg.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:21	13954/13954	---M--	200	added ('OK')	image/png	etag:%22d907f991256677811bb234c6a9ef1d9a%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6605b05d0467d28b04a_Feature%20Bg.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d2c6605b05d0467d28b04a_Feature%20Bg.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
13:38:21	9334/9334	---M--	200	added ('OK')	image/png	etag:%2238aab6071e062fa1d021e83b6c66b43e%22	https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d6beed8eaef9775ad48c57_bg.png	D:/.ari/test/assets-global.website-files.com/65d1995bebc2cbfa914e45d5/65d6beed8eaef9775ad48c57_bg.png	(from https://assets-global.website-files.com/65d1995bebc2cbfa914e45d5/css/kidsland.webflow.efe16bae8.css)
